Project ,https://demowebshop.tricentis.com/,,,,,,,
Date,29.09.2022,,,,,,,
Build ,1.0 ,,,,,,,
Tester ,Oleksii Budkov,,,,,,,
Enviroment ,Windows 10 Pro Version 21H2 ,,,,,,,
,Google Chrome 105.0.5195.127  ,,,,,,,
 Module,,Summary,,,,,,Status
,,,,,,,,
Корзина покупок,,"Правильно калькулируется общая сумма покупок в разделе ""Sub-Total"" и ""Total""",,,,,,Passed
,,,,,,,,
,,"Реализована проверка формата ввода для формы ""Количество товаров""(вводятся только цифры, имеется возможность увелечения/уменьшения количества товаров нажатием на кнопки ""+"" или ""-""",,,,,,Failed
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,"Навигация ""хлебная крошка"" в наличии ",,,,,,Failed
,,"Ввод нуля в поле ""Количество товаров"" приводит к невозможности оформления заказа и выводу соответствующего предупреждения ",,,,,,Failed
,,,,,,,,
,,"При изменении количества товаров общая сумма заказа ""Total"" и ""Sub-Total"" корректно пересчитывается",,,,,,Passed
,,,,,,,,
,,Имеется ссылка возврата обратно в каталог товаров ,,,,,,Passed
,,,,,,,,
,,"Имеется кнопка ""Оформить заказ"", её приводит к переходу на соотвествущую страницу или в сооствествующий всплывающий диалог",,,,,,Passed
,,,,,,,,
,,"Блок ""Корзина"", расположенный на всех прочих страницах в верхней части сайта, либо отсутсвует на странице, либо полностью соотвествует данным, которые пользователь видит непосредственно на странице в части количество товаров и сумма покупки",,,,,,Passed
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,"Реализована функция ""Купон для скидки"" и применяется корректно",,,,,,No run
,,,,,,,,
,,"Реализовна функция ""Подарочные карты"" и применяется корректно",,,,,,No run
,,,,,,,,
,,"Имеется сообщение: ""Based on your selection, you may be interested in the following items"", а под ним товары, которые могут заинтересовать пользователя на основе его выбора",,,,,,Passed
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,"В случае исчерпания запаса товаров в ходе оформления заказа пользователю предоставляется опция зарезервировать закончившийся товар. Список зарезервированных заказов доступен на странице корзины, их можно добавить в покупки «на заказ»",,,,,,No run
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Кнопка «Удалить товар из корзины» имеется и работает корректно. При удалении всех продуктов выводится сообщение «Ваша корзина пуста»,,,,,,Passed
,,,,,,,,
,,Доступна функция покупки «в один клик»,,,,,,Failed
,,,,,,,,
,,Невозможность совершить покупку незарестрированному пользователю,,,,,,Passed
,,,,,,,,
,,"Протестировать GUI покупок, их логическое размещение",,,,,,Passed
,,,,,,,,
,,"Протестировать кнопку ""Checkbox"" для выбора товара и реализована функция ""Выбрать все""",,,,,,Failed
,,,,,,,,
,,"Изображена возле ""Shopping cart"" значек корзины",,,,,,Failed
,,,,,,,,
,,"Наличие ""Listbox"" при выборе страны и штата",,,,,,Passed
,,,,,,,,
,,"В ""Postal code"" вводятся буквенные и числовые значения ",,,,,,Passed
,,,,,,,,
,,"При использовании ""Estimate shipping"" появляется 3 ""shipping options""",,,,,,Passed
,,,,,,,,
,,Возможность сделать покупку без адреса доставки,,,,,,Failed
,,,,,,,,
,,Данное веб-приложение работает только на протоколе HTTPS,,,,,,Passed
,,,,,,,,
,,Реализовано корректное описание параметров приобретенных товаров ,,,,,,Failed
,,,,,,,,
,,"Реализован ""checkbox"" с текстом: ""I agree with the terms of service and I adhere to them unconditionally (read)""",,,,,,Passed
,,,,,,,,
,,При нажатии на onclick (read) есть возможность изучить правила данного приложения,,,,,,Failed