TO-DO MVP,,,,,,,,
,,,,,,,,
"Окружение: Google Pixel 3a;

Android 10.0; 

Android SDK built for x86; 

Номер сборки: QSR1.190920.001",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Задача,,,,,,Статус,,Комментарии
,,,,,,,,
,,,,,,,,
Установка ,,,,,,Passed,,
,,,,,,,,
Удаление ,,,,,,Passed,,
,,,,,,,,
Запуск приложение ,,,,,,Passed,,
,,,,,,,,
Сворачивание/разворачивание приложения ,,,,,,Passed,,
,,,,,,,,
"Обновление приложения с помощью кнопки ""Refresh""",,,,,,Failed,,
,,,,,,,,
Создание заметки с помощью latin letters/cyrillic letters,,,,,,Passed,,
,,,,,,,,
"Выход из страницы ""NEW TO-DO"" с помощью кнопки ""←""",,,,,,Failed,,
,,,,,,,,
"Удаление заметки с помощью кнопки ""Delete Task""",,,,,,Passed,,
,,,,,,,,
"Всплывает push-уведемолении ""Task marked active/completed"" при измении checkbox'a",,,,,,Passed,,
,,,,,,,,
Создание заметки с помощью numbers/special characters ,,,,,,Failed ,,
,,,,,,,,
"Кнопка ""✎"" позволяет редактировать заметку ",,,,,,Passed,,
,,,,,,,,
Поле ввода заметки подсвечивается красным при нажатии на него,,,,,,Passed,,
,,,,,,,,
Под полем ввода заметки находится подсказка для валидации ,,,,,,Failed,,В поле подсказки можно внести любое значение при нажатии на него
,,,,,,,,
Навигация между разделами приложения ,,,,,,Failed ,,
,,,,,,,,
Приложение сворачивается при звонке/получении сообщений ,,,,,,Passed,,"Приложение не крашится, а возвращается на этап, где закончил"
,,,,,,,,
"Приложение работает при низком заряде батареи/статусе ""на зарядке""/режим ""энергосбережения""",,,,,,Passed,,
,,,,,,,,
Приложения работает при любых видах интернет подключения/без интернет подключения ,,,,,,Passed,,
,,,,,,,,
" Работает вкладка ""Statistics""",,,,,,Failed,,"Не отображает количество ""Completed tasks"""
,,,,,,,,
Скролл/свайп элементов ,,,,,,Failed,,
,,,,,,,,
"Кнопка ""Cleare completed"" удаляет завершенные заметки ",,,,,,Failed ,,
,,,,,,,,
"Во вкладке ""Active"" показывает только активные заметки ",,,,,,Failed,,
,,,,,,,,
"Во вкладке ""Completed"" показывает только завершенные заметки ",,,,,,Passed,,
,,,,,,,,
Ориентация экрана (альбомная/портретная),,,,,,Failed ,,
,,,,,,,,
Все тексты выровнены ,,,,,,Passed,,
,,,,,,,,
Все шрифты соотвествуют требованиям ,,,,,,Passed,,
,,,,,,,,
Неактивные элементы отображаются серым цветом ,,,,,,Passed,,
,,,,,,,,
"Когда наводишь курсор на элементы, то они подсвечиваются ",,,,,,Failed ,,
,,,,,,,,
"Корректный выход с вкладки ""Statistics""",,,,,,Failed,,
,,,,,,,,
"Приложение работает при ""нехватки памяти""",,,,,,Passed,,